Назва,Місто/район,"Велика рогата худоба,
голів усього","Велика рогата худоба,
голів у т.ч. корови","Свині, голів","Птиця свійська, тис. голів"
м.Балта,місто,к,к,к,–
м.Біляївка,місто,–,–,к,–
Ананьївський,район,400,157,–,–
Арцизький,район,435,238,15036,–
Балтський,район,к,к,–,–
Білгород-Дністровський,район,1508,743,1502,9.6
Біляївський,район,952,374,1364,–
Березівський,район,2650,1111,к,–
Болградський,район,350,202,16946,–
Великомихайлівський,район,401,147,804,–
Іванівський,район,к,к,5433,–
Ізмаїльський,район,к,к,–,к
Кілійський,район,338,166,–,к
Кодимський,район,к,к,–,–
Лиманський,район,–,–,–,к
Подільський,район,к,к,к,–
Окнянський,район,–,–,–,–
Любашівський,район,к,к,–,–
Миколаївський,район,–,–,–,–
Овідіопольський,район,к,к,–,–
Роздільнянський,район,183,68,972,–
Ренійський,район,–,–,–,–
Савранський,район,к,к,–,–
Саратський,район,1846,712,318,к
Тарутинський,район,219,123,16722,к
Татарбунарський,район,–,–,–,–
Захарівський,район,–,–,к,–
Ширяївський,район,950,320,3346,–